iter	MultiClass
0	0.9841804128
1	0.8984719583
2	0.8281198308
3	0.773019846
4	0.7257068672
5	0.6868996852
6	0.6547141336
7	0.6269088687
8	0.6030279354
9	0.5825735589
10	0.5644190207
11	0.5489542818
12	0.5352619224
13	0.5239872175
14	0.5137961516
15	0.5049730403
16	0.4976473345
17	0.4907564529
18	0.4842512633
19	0.4788587772
20	0.4745987143
21	0.470054092
22	0.4665650063
23	0.462940032
24	0.4599368454
25	0.4572603282
26	0.4547648704
27	0.452524361
28	0.4504893989
29	0.4488843061
30	0.4475052158
31	0.4457830645
32	0.4442474707
33	0.4432814977
34	0.4418739299
35	0.4408981677
36	0.4398511742
37	0.4390086007
38	0.4379215362
39	0.4371740574
40	0.4363446661
41	0.4356737899
42	0.4352721653
43	0.4345667401
44	0.4340039453
45	0.433743679
46	0.4332611305
47	0.4327777379
48	0.4324523939
49	0.4322781015
50	0.4317986608
51	0.4314852351
52	0.43112447
53	0.4306753457
54	0.4302629412
55	0.4300411587
56	0.4297268677
57	0.4293839516
58	0.4292557266
59	0.4291294396
60	0.4288992849
61	0.4286607952
62	0.428486177
63	0.4283439935
64	0.4279962359
65	0.4276709058
66	0.4275419182
67	0.4273354808
68	0.4271878558
69	0.4269018463
70	0.4267838083
71	0.426574446
72	0.4264899819
73	0.4263683838
74	0.4262541243
75	0.4260811298
76	0.4259269724
77	0.4257436889
78	0.4256620229
79	0.425475202
80	0.4252667734
81	0.4252322104
82	0.4250501956
83	0.4249380463
84	0.4248948563
85	0.4247612366
86	0.4246073805
87	0.4245394561
88	0.4243563694
89	0.4243269709
90	0.42428908
91	0.4242288666
92	0.4241206758
93	0.4240119283
94	0.4239429085
95	0.4237439135
96	0.4236345764
97	0.423562496
98	0.4233588756
99	0.423186637
100	0.4230708496
101	0.423000125
102	0.4229101576
103	0.4228114625
104	0.4227013232
105	0.422664634
106	0.4225994533
107	0.4224577196
108	0.4224240337
109	0.4223293578
110	0.4222930761
111	0.4222432659
112	0.4221708975
113	0.4220666861
114	0.4219824905
115	0.4218731316
116	0.4217560041
117	0.4216980861
118	0.4216235696
119	0.4214203213
120	0.4212845282
121	0.4211951202
122	0.4211481348
123	0.4211100949
124	0.4210751094
125	0.4210508242
126	0.4209792873
127	0.4209320401
128	0.4208559762
129	0.4207658231
130	0.4206152892
131	0.4204975717
132	0.4204300249
133	0.420379728
134	0.4203399094
135	0.4202192557
136	0.4201301562
137	0.4200607074
138	0.4199977198
139	0.4199387088
140	0.4199166851
141	0.4198839664
142	0.4198746769
143	0.4198253992
144	0.4197858418
145	0.4197002339
146	0.4196451295
147	0.4195609047
148	0.4194926352
149	0.4193690982
150	0.4193305514
151	0.4192401512
152	0.4192208614
153	0.4192055862
154	0.4190874192
155	0.4190194135
156	0.4189711724
157	0.4189413492
158	0.4188446152
159	0.4188011516
160	0.4186900954
161	0.4186470836
162	0.4185786589
163	0.4185593169
164	0.4184938902
165	0.4184676313
166	0.4184362977
167	0.4183745477
168	0.4183488521
169	0.4182851847
170	0.4181385683
171	0.4180917044
172	0.418070315
173	0.4179873863
174	0.4179567127
175	0.4179376932
176	0.4177991887
177	0.4177184993
178	0.4176962007
179	0.4176748506
180	0.4175807306
181	0.4174876371
182	0.4174674805
183	0.417373315
184	0.4173525952
185	0.4173069349
186	0.4172766918
187	0.4172317746
188	0.4171859823
189	0.4171453484
190	0.4171155912
191	0.417097462
192	0.4170512707
193	0.417017731
194	0.4169959662
195	0.4169646577
196	0.4169399643
197	0.4169303052
198	0.4168881629
199	0.4168713643
200	0.4168280417
201	0.4167899146
202	0.4167393301
203	0.4167012434
204	0.4166154221
205	0.4165895216
206	0.4165585039
207	0.4164773917
208	0.4164581458
209	0.4163416116
210	0.416294077
211	0.4162553164
212	0.4162139446
213	0.4161807827
214	0.4161226093
215	0.4160835203
216	0.4160757665
217	0.416043991
218	0.4159923683
219	0.4159367384
220	0.4159071167
221	0.4158918738
222	0.4158793732
223	0.4158051716
224	0.4157910407
225	0.4157701048
226	0.4157281007
227	0.4156560653
228	0.4156018649
229	0.4155681217
230	0.4155292252
231	0.4155049502
232	0.415451671
233	0.4153971382
234	0.415317744
235	0.4152908221
236	0.4152759303
237	0.415209632
238	0.4151906455
239	0.415175947
240	0.4151317686
241	0.4150776752
242	0.4150421126
243	0.4150234142
244	0.4150171564
245	0.4149634686
246	0.4149498007
247	0.4149110535
248	0.4148899461
249	0.4147969978
250	0.4147836663
251	0.4147719983
252	0.4147585747
253	0.4147353271
254	0.414701697
255	0.4146653854
256	0.4146529225
257	0.4146141471
258	0.414597464
259	0.4145876592
260	0.4145588791
261	0.4144862384
262	0.4144604723
263	0.4144445743
264	0.4144231483
265	0.4143666509
266	0.4143423632
267	0.4143306645
268	0.4142711207
269	0.4142605678
270	0.4142257881
271	0.4141913568
272	0.4141808402
273	0.4141718516
274	0.414158963
275	0.4140841406
276	0.4140318262
277	0.4139888024
278	0.413941731
279	0.4138988484
280	0.4138724203
281	0.4138614769
282	0.4138579362
283	0.4138227202
284	0.4137991289
285	0.4137848806
286	0.4137568225
287	0.4137480652
288	0.4137291992
289	0.4136996485
290	0.4136241946
291	0.4135796869
292	0.4135641467
293	0.4135587733
294	0.413550548
295	0.4135364973
296	0.4135299346
297	0.4134569978
298	0.4134032682
299	0.4133968988
300	0.4133697064
301	0.4133485599
302	0.4133310732
303	0.4133119923
304	0.4132967926
305	0.4132423818
306	0.4131857547
307	0.4131694413
308	0.4131213376
309	0.4130864781
310	0.4130672577
311	0.4129986115
312	0.4129810303
313	0.412929314
314	0.4128950144
315	0.4128548943
316	0.4128251929
317	0.4127712511
318	0.4127570117
319	0.4127170691
320	0.4126923813
321	0.4126808757
322	0.4126567789
323	0.4126315059
324	0.4126059999
325	0.41259941
326	0.4125528343
327	0.412544247
328	0.412526209
329	0.4124932607
330	0.4124734026
331	0.4124444908
332	0.4124194505
333	0.4124048487
334	0.4123171593
335	0.4123056908
336	0.4122843745
337	0.4122098875
338	0.4121555498
339	0.4121345977
340	0.4121068639
341	0.4120992164
342	0.4120804983
343	0.4120558172
344	0.4120456082
345	0.4120070139
346	0.4119705356
347	0.4119533406
348	0.4119276086
349	0.41190499
350	0.4118884229
351	0.4118843544
352	0.4118417578
353	0.4118028525
354	0.4117910552
355	0.4117801337
356	0.4117684774
357	0.4117556606
358	0.411725398
359	0.4116793638
360	0.4116671191
361	0.411655323
362	0.4116456048
363	0.4116386756
364	0.4116249705
365	0.4116133362
366	0.4115271079
367	0.4114684082
368	0.4114467458
369	0.4114328547
370	0.4114141768
371	0.4114005618
372	0.4113886535
373	0.4113603787
374	0.4113456956
375	0.4113354302
376	0.4113256367
377	0.4113169883
378	0.4112607767
379	0.411232948
380	0.4112162189
381	0.4111617627
382	0.411157246
383	0.4111360146
384	0.4111180102
385	0.4110575948
386	0.4110075609
387	0.410998666
388	0.410978654
389	0.4109650002
390	0.4109457867
391	0.4109209272
392	0.4108483339
393	0.4108120488
394	0.4108022105
395	0.41078575
396	0.4107688003
397	0.4107566022
398	0.4107402126
399	0.410707978
400	0.4106794851
401	0.410660946
402	0.4106542192
403	0.4106328061
404	0.4106303244
405	0.4105762659
406	0.410569574
407	0.4105636073
408	0.4105504809
409	0.4105049157
410	0.4104976062
411	0.4104849817
412	0.4104692734
413	0.4104562318
414	0.4104505906
415	0.4104469602
416	0.4104176923
417	0.4104018786
418	0.4103864949
419	0.4103749299
420	0.4103655061
421	0.4103541643
422	0.4103285006
423	0.4103056189
424	0.4102942433
425	0.4102379852
426	0.4102341064
427	0.410214619
428	0.4101645906
429	0.4101415755
430	0.4101294995
431	0.4101234245
432	0.4101008476
433	0.4100928507
434	0.4100621409
435	0.4100070761
436	0.4099977519
437	0.4099801341
438	0.4099282309
439	0.4099222972
440	0.4099166662
441	0.4098860199
442	0.4098646392
443	0.4098266131
444	0.4097880309
445	0.4097809814
446	0.4097697395
447	0.4097109349
448	0.4096928832
449	0.4096755471
450	0.4096538228
451	0.4096463036
452	0.4096306235
453	0.4096098209
454	0.4096008101
455	0.4095861608
456	0.409569913
457	0.4095629862
458	0.4095441675
459	0.4095225954
460	0.4095126313
461	0.4094853337
462	0.4094574799
463	0.4094357702
464	0.4094060194
465	0.4093786591
466	0.4093651374
467	0.4093541784
468	0.4093329396
469	0.4093243417
470	0.409306656
471	0.4092913755
472	0.4092756304
473	0.4092631784
474	0.4092284271
475	0.4092004506
476	0.409179331
477	0.4091621961
478	0.4091383791
479	0.4090908569
480	0.4090758427
481	0.4090394189
482	0.4090314184
483	0.409020131
484	0.4090062464
485	0.4089648057
486	0.4089416315
487	0.4089195416
488	0.4088434321
489	0.4088241945
490	0.4088030104
491	0.408791154
492	0.4087778859
493	0.4087589626
494	0.4087363456
495	0.4086518465
496	0.4086228451
497	0.4086079645
498	0.4085893953
499	0.4085707264
500	0.4085493938
501	0.4085405904
502	0.4085258456
503	0.4085036826
504	0.4084935582
505	0.4084874262
506	0.4084734149
507	0.408451255
508	0.4084351033
509	0.4083802561
510	0.4083572133
511	0.4083528936
512	0.4083448511
513	0.408320925
514	0.4082767425
515	0.408255946
516	0.4082462564
517	0.4082229907
518	0.4081886748
519	0.4081854136
520	0.4081738761
521	0.4081575069
522	0.4081415336
523	0.4081071712
524	0.4080941119
525	0.4080645767
526	0.4080537026
527	0.4080412241
528	0.4080116752
529	0.4079980815
530	0.4079940187
531	0.4079800992
