iter	Passed	Remaining
0	149	149629
1	157	78659
2	165	54972
3	173	43218
4	195	38811
5	214	35617
6	223	31750
7	244	30294
8	253	27887
9	274	27133
10	294	26495
11	305	25180
12	316	24044
13	325	22954
14	336	22103
15	358	22049
16	368	21285
17	375	20487
18	399	20641
19	407	19957
20	416	19422
21	439	19535
22	449	19108
23	457	18605
24	483	18838
25	491	18415
26	502	18121
27	513	17835
28	523	17534
29	534	17287
30	546	17072
31	561	16997
32	571	16740
33	580	16506
34	590	16280
35	613	16437
36	623	16232
37	632	16002
38	657	16212
39	668	16032
40	679	15882
41	702	16012
42	724	16125
43	748	16256
44	758	16100
45	770	15976
46	777	15769
47	787	15616
48	795	15434
49	803	15273
50	811	15102
51	823	15017
52	834	14912
53	841	14746
54	866	14881
55	873	14726
56	883	14620
57	892	14500
58	903	14410
59	914	14330
60	935	14403
61	946	14314
62	952	14172
63	962	14072
64	969	13942
65	979	13868
66	987	13756
67	1010	13853
68	1018	13745
69	1029	13674
70	1038	13583
71	1047	13505
72	1059	13456
73	1070	13396
74	1079	13318
75	1090	13259
76	1113	13348
77	1124	13287
78	1133	13213
79	1143	13155
80	1155	13115
81	1165	13044
82	1174	12975
83	1183	12909
84	1190	12817
85	1211	12879
86	1223	12836
87	1245	12911
88	1254	12840
89	1262	12763
90	1269	12684
91	1278	12613
92	1286	12543
93	1294	12476
94	1302	12405
95	1314	12374
96	1324	12328
97	1337	12314
98	1350	12287
99	1361	12255
100	1371	12208
101	1384	12188
102	1393	12134
103	1402	12083
104	1424	12144
105	1446	12202
106	1456	12159
107	1467	12121
108	1474	12056
109	1484	12010
110	1492	11953
111	1502	11911
112	1509	11847
113	1518	11799
114	1525	11740
115	1534	11697
116	1543	11648
117	1553	11609
118	1563	11572
119	1570	11517
120	1580	11479
121	1601	11524
122	1610	11480
123	1618	11434
124	1628	11402
125	1635	11347
126	1646	11318
127	1656	11282
128	1664	11240
129	1684	11270
130	1692	11230
131	1701	11189
132	1710	11149
133	1717	11102
134	1737	11134
135	1745	11087
136	1755	11057
137	1763	11015
138	1772	10978
139	1780	10939
140	1789	10903
141	1797	10863
142	1805	10821
143	1814	10785
144	1822	10743
145	1831	10713
146	1839	10673
147	1848	10644
148	1869	10679
149	1878	10646
150	1885	10602
151	1894	10568
152	1901	10525
153	1909	10490
154	1917	10452
155	1927	10426
156	1933	10384
157	1952	10403
158	1961	10377
159	1969	10339
160	1978	10310
161	1986	10274
162	1994	10243
163	2002	10208
164	2011	10181
165	2021	10154
166	2030	10127
167	2042	10116
168	2051	10086
169	2059	10057
170	2071	10041
171	2078	10007
172	2087	9978
173	2095	9945
